seqname,tax_id
A00001096,g__Methanococcus
A00001097,f__Methanosarcinaceae
A00002613,g__Ectothiorhodospira
A00001529,g__Novosphingobium
A00002610,g__Agrobacterium
A00002616,g__Sulfobacillus
A00002967,g__Vibrio
A00001521,g__Mycobacterium
A00002619,g__Hymenobacter
A00001525,g__Ureaplasma
A00001526,g__Myxococcus
A00001527,g__Nitrosomonas
A00003569,g__Mesorhizobium
A00001701,f__Verrucomicrobiaceae
A00001702,g__Borrelia
A00001704,g__Bacteroides
A00001706,g__Alistipes
A00001708,g__Borrelia
A00003968,f__Dermacoccaceae
A00003969,g__Methylobacterium
A00003966,g__Vibrio
A00003964,g__Methylocystis
A00003962,g__Lactobacillus
A00003623,g__Frankia
A00003706,g__Pseudomonas
A00002380,f__Neisseriaceae
A00002383,g__Wolbachia
A00002384,g__Agrobacterium
A00002387,g__Congregibacter
A00003701,g__Congregibacter
A00002389,f__Enterobacteriaceae
A00002388,g__Sphingobium
A00003497,f__Flammeovirgaceae
A00002149,f__Flavobacteriaceae
A00002146,g__Lactobacillus
A00002145,g__Ectothiorhodospira
A00002144,f__Rhodobacteraceae
A00002143,f__Erysipelotrichaceae
A00002142,o__Catenulisporales
A00003498,g__Prevotella
A00003499,g__Streptomyces
A00002819,g__Ruminococcus
A00003366,g__Dasania
A00002548,g__Pediococcus
A00003361,g__Sulfurospirillum
A00003814,o__Burkholderiales
A00003363,g__Anaerostipes
A00002543,g__Eubacterium
A00003819,g__Echinicola
A00002815,f__Rhizobiaceae
A00002546,o__Chloroflexales
A00002544,g__Corynebacterium
A00003148,g__Collinsella
A00003633,g__Polaribacter
A00003630,g__Streptomyces
A00003631,g__Lactobacillus
A00003636,g__Megasphaera
A00003637,c__Gammaproteobacteria
A00003142,g__Gluconacetobacter
A00003388,g__Micromonospora
A00003389,g__Neisseria
A00003382,g__Myroides
A00003383,g__Streptococcus
A00003387,g__Xanthomonas
A00003384,g__Thermocrispum
A00000469,g__Pyrobaculum
A00004088,f__Oceanospirillaceae
A00004089,g__Streptococcus
A00004160,g__Bradyrhizobium
A00003897,g__Yersinia
A00003030,g__Capnocytophaga
A00003032,f__Halobacteroidaceae
A00003033,f__Lachnospiraceae
