tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
s__Gemella_A_asaccharolytica,g__Gemella_A,rank_6,s__Gemella_A_asaccharolytica,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Gemellaceae,g__Gemella_A,s__Gemella_A_asaccharolytica
f__Ectothiorhodospiraceae,o__Ectothiorhodospirales,rank_4,f__Ectothiorhodospiraceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ectothiorhodospirales,f__Ectothiorhodospiraceae,,
g__Thioalkalivibrio_A,f__Ectothiorhodospiraceae,rank_5,g__Thioalkalivibrio_A,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ectothiorhodospirales,f__Ectothiorhodospiraceae,g__Thioalkalivibrio_A,
s__Thioalkalivibrio_A_sulfidiphilus,g__Thioalkalivibrio_A,rank_6,s__Thioalkalivibrio_A_sulfidiphilus,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ectothiorhodospirales,f__Ectothiorhodospiraceae,g__Thioalkalivibrio_A,s__Thioalkalivibrio_A_sulfidiphilus
g__Aphanizomenon,f__Nostocaceae,rank_5,g__Aphanizomenon,Root,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Nostocaceae,g__Aphanizomenon,
s__Aphanizomenon_sp1,g__Aphanizomenon,rank_6,s__Aphanizomenon_sp1,Root,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Nostocaceae,g__Aphanizomenon,s__Aphanizomenon_sp1
s__Psychroserpens_mesophilus,g__Psychroserpens,rank_6,s__Psychroserpens_mesophilus,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Psychroserpens,s__Psychroserpens_mesophilus
s__Aureimonas_sp1,g__Aureimonas,rank_6,s__Aureimonas_sp1,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Aureimonas,s__Aureimonas_sp1
s__Borrelia_hispanica,g__Borrelia,rank_6,s__Borrelia_hispanica,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Borreliales,f__Borreliaceae,g__Borrelia,s__Borrelia_hispanica
g__Acetitomaculum,f__Lachnospiraceae,rank_5,g__Acetitomaculum,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetitomaculum,
s__Acetitomaculum_ruminis,g__Acetitomaculum,rank_6,s__Acetitomaculum_ruminis,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetitomaculum,s__Acetitomaculum_ruminis
g__Beijerinckia,f__Beijerinckiaceae,rank_5,g__Beijerinckia,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Beijerinckia,
s__Beijerinckia_mobilis,g__Beijerinckia,rank_6,s__Beijerinckia_mobilis,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Beijerinckia,s__Beijerinckia_mobilis
s__Corynebacterium_uterequi,g__Corynebacterium,rank_6,s__Corynebacterium_uterequi,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_uterequi
g__EsTjRp,f__Sedimenticolaceae,rank_5,g__EsTjRp,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Sedimenticolaceae,g__EsTjRp,
s__EsTjRp_sp1,g__EsTjRp,rank_6,s__EsTjRp_sp1,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Sedimenticolaceae,g__EsTjRp,s__EsTjRp_sp1
s__Microbacterium_esteraromaticum,g__Microbacterium,rank_6,s__Microbacterium_esteraromaticum,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__Microbacterium_esteraromaticum
g__Microbispora,f__Streptosporangiaceae,rank_5,g__Microbispora,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,
g__Halotalea,f__Halomonadaceae,rank_5,g__Halotalea,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halotalea,
s__Halotalea_alkalilenta,g__Halotalea,rank_6,s__Halotalea_alkalilenta,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halotalea,s__Halotalea_alkalilenta
g__Mucilaginibacter,f__Sphingobacteriaceae,rank_5,g__Mucilaginibacter,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,
s__Mucilaginibacter_polytrichastri,g__Mucilaginibacter,rank_6,s__Mucilaginibacter_polytrichastri,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__Mucilaginibacter_polytrichastri
g__PCC-6312,f__Thermosynechococcaceae,rank_5,g__PCC-6312,Root,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Thermosynechococcales,f__Thermosynechococcaceae,g__PCC-6312,
g__Leadbetterella,f__Spirosomaceae,rank_5,g__Leadbetterella,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Leadbetterella,
c__DTU014,p__Firmicutes_G,rank_2,c__DTU014,Root,d__Bacteria,p__Firmicutes_G,c__DTU014,,,,
o__DTU014,c__DTU014,rank_3,o__DTU014,Root,d__Bacteria,p__Firmicutes_G,c__DTU014,o__DTU014,,,
f__DTU014,o__DTU014,rank_4,f__DTU014,Root,d__Bacteria,p__Firmicutes_G,c__DTU014,o__DTU014,f__DTU014,,
g__DTU014,f__DTU014,rank_5,g__DTU014,Root,d__Bacteria,p__Firmicutes_G,c__DTU014,o__DTU014,f__DTU014,g__DTU014,
f__Nitratiruptoraceae,o__Campylobacterales,rank_4,f__Nitratiruptoraceae,Root,d__Bacteria,p__Epsilonbacterota,c__Campylobacteria,o__Campylobacterales,f__Nitratiruptoraceae,,
