tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
s__Cecembia_lonarensis,g__Cecembia,species,s__Cecembia_lonarensis,Root,d__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,g__Cecembia,s__Cecembia_lonarensis
f__[Cyanobium],o__Chroococcales,family,f__[Cyanobium],Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Cyanobium],,
g__Cyanobium,f__[Cyanobium],genus,g__Cyanobium,Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Cyanobium],g__Cyanobium,
s__Cyanobium_sp._PCC_7001,g__Cyanobium,species,s__Cyanobium_sp._PCC_7001,Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Cyanobium],g__Cyanobium,s__Cyanobium_sp._PCC_7001
s__Mycobacterium_sp._JDM601,g__Mycobacterium,species,s__Mycobacterium_sp._JDM601,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_sp._JDM601
g__Citreicella,f__Rhodobacteraceae,genus,g__Citreicella,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Citreicella,
s__Citreicella_sp._SE45,g__Citreicella,species,s__Citreicella_sp._SE45,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Citreicella,s__Citreicella_sp._SE45
s__Streptomyces_sp._TAA040,g__Streptomyces,species,s__Streptomyces_sp._TAA040,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_sp._TAA040
f__Myxococcaceae,o__Myxococcales,family,f__Myxococcaceae,Root,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,,
g__Myxococcus,f__Myxococcaceae,genus,g__Myxococcus,Root,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__Myxococcus,
s__Myxococcus_fulvus,g__Myxococcus,species,s__Myxococcus_fulvus,Root,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__Myxococcus,s__Myxococcus_fulvus
o__Nitrosomonadales,c__Betaproteobacteria,order,o__Nitrosomonadales,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,,,
f__Nitrosomonadaceae,o__Nitrosomonadales,family,f__Nitrosomonadaceae,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,,
g__Nitrosomonas,f__Nitrosomonadaceae,genus,g__Nitrosomonas,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
s__Nitrosomonas_sp._AL212,g__Nitrosomonas,species,s__Nitrosomonas_sp._AL212,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_sp._AL212
s__Nitrosomonas_sp._Is79A3,g__Nitrosomonas,species,s__Nitrosomonas_sp._Is79A3,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_sp._Is79A3
g__Novosphingobium,f__Sphingomonadaceae,genus,g__Novosphingobium,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,
s__Novosphingobium_sp._PP1Y,g__Novosphingobium,species,s__Novosphingobium_sp._PP1Y,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium_sp._PP1Y
s__Rhodococcus_sp._P14,g__Rhodococcus,species,s__Rhodococcus_sp._P14,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus_sp._P14
c__Archaeoglobi,p__Euryarchaeota,class,c__Archaeoglobi,Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,,,,
o__Archaeoglobales,c__Archaeoglobi,order,o__Archaeoglobales,Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,,,
f__Archaeoglobaceae,o__Archaeoglobales,family,f__Archaeoglobaceae,Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,,
